Complete Secondary School List | Property Review SG

| Secondary School | Chinese Name | Nature | Sch Type | PSLE 2020 (Aff.)Integ. | PSLE 2020 (Aff.)Exp. | PSLE 2020 (Aff.)N(Acad) | PSLE 2020 (Aff.)N(Tech) | PSLE 2020 (Non-Aff.)Integ. | PSLE 2020 (Non-Aff.)Exp. | PSLE 2020 (Non-Aff.)N(Acad) | PSLE 2020 (Non-Aff.)N(Tech) | IntegratedProgramme | Address |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Spectra Secondary School | 云锦中学 | Co-Ed | Spec. Sch | 1 Woodlands Drive 64, S737758 |
| Springfield Secondary School | 泉原中学 | Co-Ed | Gov Sch | 30 Tampines Avenue 8, S529593 |
| St. Andrew's Secondary School | 圣安德烈中学 | Boys | Gov-Aided Sch | 15 Francis Thomas Drive, S359342 |
| St. Anthony's Canossian Secondary School | 圣安东尼女校（中学） | Girls | Gov-Aided Sch / Auto. | 1600 Bedok North Avenue 4, S469700 |
| St. Gabriel's Secondary School | 圣加俾尔中学 | Boys | Gov-Aided Sch | 24 Serangoon Avenue 1, S556140 |
| St. Hilda's Secondary School | 圣希尔达中学 | Co-Ed | Gov-Aided Sch | 2 Tampines Street 82, S528986 |
| St. Joseph's Institution (Secondary) | 圣约瑟书院 | Co-Ed | Independent Sch | 38 Malcolm Road, S308274 |
| St. Margaret's Secondary School | 圣玛格烈中学 | Girls | Gov-Aided Sch/ Auto. | 111 Farrer Road, S259240 |
| St. Patrick's School | 圣伯特理中学 | Boys | Gov-Aided Sch | 490 East Coast Road, S429058 |
| Swiss Cottage Secondary School | 瑞士村中学 | Co-Ed | Gov Sch | 3 Bukit Batok Street 34, S659322 |
| Tampines Secondary School | 淡滨尼中学 | Co-Ed | Gov Sch | 252 Tampines St 12, S529427 |
| Tanglin Secondary School | 东林中学 | Co-Ed | Gov Sch | 301 West Coast Road, S127391 |
| Tanjong Katong Girls' School | 丹绒加东女校 | Girls | Gov Sch / Auto. | 20 Dunman Lane, S439272 |
| Tanjong Katong Secondary School | 丹绒加东中学 | Co-Ed | Gov Sch / Auto. | 130 Haig Road, S438796 |
| Temasek Junior College (Secondary) | 淡马锡初级学院 | Co-Ed | Gov Sch | 22 Bedok South Road, S469278 |
| Temasek Secondary School | 淡马锡中学 | Co-Ed | Gov Sch / Auto. | 600 Upper East Coast Road, S465561 |
| Unity Secondary School | 协和中学 | Co-Ed | Gov Sch | 20 Choa Chu Kang Street 62, S689143 |
| Victoria School | 维多利亚学校 | Boys | Gov Sch / Auto. | 2 Siglap Link, S448880 |
| West Spring Secondary School | 伟源中学 | Co-Ed | Gov Sch | 61 Senja Road, S677737 |
